funcType,funcTargetType,buffType,buffName,scriptKeys,origScriptKeys,condTarget,functvals,count,top5servants,sources,classification
"addStateShort","self","upGrantstate","Debuff Chance Up","","","false","false","74","100,103,104,120,124","passive,skill","cosmetic"
"addStateShort","self","regainNp","NP Gain Each Turn","","","false","false","72","103,106,107,127,136","skill,passive,np","handled"
"addStateShort","ptAll","upCriticaldamage","Critical Strength Up","","","false","false","71","108,130,142,145,150","skill,np","cosmetic"
"addStateShort","self","pierceInvincible","Ignore Invincible","","","false","false","70","1,102,109,119,127","skill,np","cosmetic"
"addStateShort","enemy","downDefence","DEF Down","ProgressSelfTurn","ProgressSelfTurn","false","false","68","102,116,118,128,131","np,skill","handled"
"addState","enemyAll","downCriticalrate","Critical Hit Rate Down","missText","missText","false","false","64","100,103,104,108,112","np,skill","cosmetic"
"addState","enemyAll","downCriticalpoint","C. Star Drop Rate Down","","","false","false","63","100,103,104,112,114","np,skill","cosmetic"
"subState","self","","","","","false","false","61","10,110,116,119,120","skill,np","long_tail"
"addStateShort","ptAll","upNpdamage","NP Strength Up","ProgressSelfTurn","ProgressSelfTurn","false","false","59","103,108,119,12,126","skill,np","handled"
"damageNpIndividual","enemy","","","","","false","false","57","101,128,140,143,15","np","handled"
"hastenNpturn","ptOne","","","","","false","false","55","1,144,183,189,197","skill","cosmetic"
"addState","enemy","downCriticalrate","Critical Hit Rate Down","missText","missText","false","false","49","105,107,109,110,113","np,skill","cosmetic"
"subState","enemyAll","","","","","false","false","48","1,167,18,19,205","np,skill","long_tail"
"addState","enemy","downCriticalpoint","C. Star Drop Rate Down","","","false","false","48","105,107,109,110,113","np,skill","cosmetic"
"addState","self","avoidState","Debuff Immune","","","false","false","48","127,135,154,164,171","skill,passive,np","cosmetic"
"subState","enemy","","","","","false","false","47","116,122,143,153,158","np,skill","long_tail"
"gainNp","ptOne","","","","","false","false","45","1,144,183,189,197","skill","handled"
"addState","self","breakAvoidance","Sure Hit","ProgressSelfTurn","ProgressSelfTurn","false","false","45","102,105,122,129,13","skill,np","cosmetic"
"gainHp","ptAll","","","","","false","false","42","104,111,120,122,138","np,skill","cosmetic"
"delayNpturn","enemy","","","","","false","false","41","107,109,124,129,15","skill,np","long_tail"
"lossNp","enemy","","","","","false","false","41","107,109,124,129,15","skill,np","cosmetic"
"addState","enemyAll","reduceHp","Curse","","","false","false","41","147,18,19,230,297","np,skill","cosmetic"
"damageNpPierce","enemyAll","","","","","false","false","40","100,11,127,167,18","np","handled"
"addStateShort","ptAll","upCommandall","Arts Up","","","false","false","39","10,100,127,145,192","skill,np","handled"
"addStateShort","ptOne","upCriticalrate","Critical Hit Rate Up","ProgressSelfTurn","ProgressSelfTurn","false","false","39","103,117,141,179,188","skill","cosmetic"
"addState","enemyAll","downAtk","ATK Down","","","false","false","36","10,103,11,112,117","np,skill","cosmetic"
"addStateShort","ptAll","upDropnp","NP Gain Up","","","false","false","36","113,126,182,196,203","skill,np","handled"
"addState","self","upTolerance","Mental Resist Up","","","false","false","36","126,148,167,186,239","skill,passive","long_tail"
"addStateShort","self","regainHp","Restore HP Each Turn","","","false","false","36","127,130,139,155,214","skill,np,passive","cosmetic"
"addState","ptAll","upDefence","DEF Up","","","false","false","35","1,126,129,145,189","skill,np","cosmetic"
"addStateShort","ptAll","upCommandall","Buster Up","ProgressSelfTurn","ProgressSelfTurn","false","false","34","100,125,140,161,171","skill,np","handled"
"addStateShort","ptAll","upCriticalrate","Critical Hit Rate Up","ProgressSelfTurn","ProgressSelfTurn","false","false","33","113,145,150,161,181","skill,np","cosmetic"
"instantDeath","enemy","","","","","false","false","32","102,124,154,158,17","np","handled"
"addState","self","subSelfdamage","Damage Cut","","","false","false","32","113,153,157,164,177","skill,passive","long_tail"
"addState","self","upToleranceSubstate","Buff Removal Resist Up","","","false","false","31","196,198,228,230,238","skill,passive","long_tail"
"gainHp","ptOne","","","","","false","false","30","111,116,133,136,141","skill","cosmetic"
"subState","ptAll","","","","","false","false","30","122,192,249,271,282","skill,np","long_tail"
"addState","self","upDamagedropnp","NP Gain Up When Damaged","","","false","false","29","106,107,147,158,162","passive,skill","long_tail"
"lossNp","enemyAll","","","","","false","false","29","132,167,220,227,229","np,skill","cosmetic"
"delayNpturn","enemyAll","","","","","false","false","28","132,167,220,227,229","np,skill","long_tail"
"damageNpPierce","enemy","","","","","false","false","27","102,109,113,121,122","np","handled"
"addStateShort","ptOne","upCriticaldamage","Critical Strength Up","","","false","false","27","116,150,197,215,269","skill","cosmetic"
"addState","enemyAll","donotSkill","Skill Seal","ProgressSelfTurn","ProgressSelfTurn","false","false","26","103,112,123,168,177","np,skill","cosmetic"
"lossHpSafe","self","","","","","false","false","25","1,106,141,161,167","skill,np","cosmetic"
"addState","ptAll","upCriticalpoint","C. Star Drop Rate Up","ProgressSelfTurn","ProgressSelfTurn","false","false","25","113,145,150,161,181","skill,np","cosmetic"
"addStateShort","ptAll","upChagetd","Overcharge Lv. Up","","","false","false","25","167,189,212,241,253","skill,np","handled"
"addStateShort","ptAll","upCommandall","Quick Up","","","false","false","23","100,14,179,182,189","skill,np","handled"
"addState","enemyAll","reduceHp","Burn","","","false","false","23","123,134,162,193,250","np,skill","cosmetic"
"addState","enemyAll","donotAct","Stun","ProgressSelfTurn","ProgressSelfTurn","false","false","23","19,201,229,232,34","np,skill","cosmetic"
"addStateShort","enemyAll","downDefencecommandall","Buster Card Resist Down","","","false","false","23","199,205,209,243,247","skill,np","handled"
"addState","enemy","downAtk","ATK Down","","","false","false","22","107,15,158,165,171","skill,np","cosmetic"
"hastenNpturn","ptAll","","","","","false","true","22","281,32,33,341,355","np,skill","cosmetic"
"addState","ptAll","subSelfdamage","Damage Cut","","","false","false","21","1,215,224,227,237","skill,np","long_tail"
"addStateShort","enemyAll","downTolerance","Debuff Resist Down","","","false","false","21","100,112,117,141,169","np,skill","cosmetic"
"addState","ptOtherFull","downTolerance","Debuff Resist Down","","","false","false","21","106,107,147,158,204","passive","cosmetic"
"addState","enemy","donotNoble","NP Seal","ProgressSelfTurn","ProgressSelfTurn","false","false","20","118,124,144,173,185","np,skill","cosmetic"
"addState","self","upResistInstantdeath","Death Resist Up","","","false","false","20","167,239,285,303,314","passive,skill","long_tail"
"addStateShort","enemyAll","downDefencecommandall","Arts Card Resist Down","","","false","false","20","173,198,201,204,221","skill,np","handled"
"addStateShort","self","pierceDefence","Ignore DEF","","","false","false","19","1,156,171,200,212","skill,np","long_tail"
"addState","enemy","reduceHp","Curse","","","false","false","19","106,128,202,260,288","np,skill","cosmetic"
"instantDeath","enemyAll","","","","","false","false","19","120,133,177,283,285","np","handled"
"addStateShort","enemyAll","downDefencecommandall","Quick Card Resist Down","","","false","false","19","218,243,263,295,305","np,skill","handled"
"addStateShort","ptOne","upStarweight","C. Star Gather Up","","","false","false","19","233,254,269,281,295","skill","cosmetic"
"addState","ptOne","upCriticalpoint","C. Star Drop Rate Up","ProgressSelfTurn","ProgressSelfTurn","false","false","18","103,117,141,179,188","skill","cosmetic"
"addStateShort","ptOne","upCommandall","Buster Up","ProgressSelfTurn","ProgressSelfTurn","false","false","18","144,150,181,207,22","skill","handled"
"addStateShort","ptAll","regainHp","Restore HP Each Turn","","","false","false","18","150,178,249,276,295","np,skill","cosmetic"
"addState","enemyAll","donotNoble","NP Seal","ProgressSelfTurn","ProgressSelfTurn","false","false","17","103,168,19,234,311","np,skill","cosmetic"
"addStateShort","enemy","downDefencecommandall","Arts Card Resist Down","","","false","false","17","110,167,187,278,291","np,skill","handled"
"addState","ptAll","avoidance","Evade","ProgressSelfTurn","ProgressSelfTurn","false","false","17","122,215,285,295,311","skill,np","cosmetic"
"addStateShort","self","upCriticalrate","Critical Rate Up: Buster","","","false","false","17","123,147,233,247,270","np,skill,passive","cosmetic"
"addState","enemy","donotAct","Charm","","","false","true","17","146,15,165,28,29","skill,np","cosmetic"
"addStateShort","ptAll","upCriticaldamage","Critical Strength Up","","","false","true","17","280,294,295,297,322","skill,np","cosmetic"
"addStateShort","self","upDamage","STR Up vs. Demonic","","","false","false","16","114,125,185,193,224","skill,np","handled"
"addStateShort","self","upStarweight","C. Star Gather Up: Buster","","","false","false","16","123,147,233,247,270","np,skill,passive","cosmetic"
"addState","enemy","donotSkill","Skill Seal","ProgressSelfTurn","ProgressSelfTurn","false","false","16","124,134,185,19,246","np,skill","cosmetic"
"addState","ptOne","guts","Guts","INDIVIDUALITIE|checkIndvType","INDIVIDUALITIE|checkIndvType","false","false","16","127,136,144,175,22","skill","cosmetic"
"addState","enemy","donotAct","Stun","ProgressSelfTurn","ProgressSelfTurn","false","false","16","146,166,176,201,409","np,skill","cosmetic"
"gainNp","ptAll","","","","","false","true","16","281,32,367,369,389","np,skill","handled"
"addState","self","gutsFunction","Activate when Guts Is Triggered","","","false","false","16","325,369,406,410,427","skill,passive","long_tail"
"shortenSkill","ptOne","","","","","false","false","15","103,104,144,179,314","skill","handled"
"addStateShort","ptAll","regainNp","NP Gain Each Turn","","","false","false","15","103,150,178,195,276","skill,np","handled"
"addStateShort","ptAll","upAtk","ATK Up","ProgressSelfTurn","ProgressSelfTurn","false","true","15","106,196,214,286,297","skill,np","handled"
"addState","enemy","reduceHp","Burn","","","false","false","15","134,138,144,170,184","np,skill","cosmetic"
"addState","ptAll","invincible","Invincible","","","false","false","15","138,150,342,351,353","skill,np","cosmetic"
"hastenNpturn","ptOther","","","","","false","false","14","294,305,347,349,363","np,skill","cosmetic"
"addState","self","downCriticalRateDamageTaken","Critical Resistance Up","","","false","false","14","309,315,329,335,368","passive,skill","cosmetic"
"addState","self","downCriticalStarDamageTaken","C. Star Generation Resistance Up","","","false","false","14","309,315,329,335,368","passive,skill","cosmetic"
"addState","ptOne","invincible","Invincible","","","false","false","13","1,188,241,244,245","skill","cosmetic"
"addState","ptAll","avoidState","Debuff Immune","","","false","false","13","1,113,237,249,278","np,skill","cosmetic"
"addStateShort","self","upGrantInstantdeath","Death Chance Up","","","false","false","13","120,124,259,283,297","skill,passive,np","long_tail"
"addState","self","damageFunction","Activate when Damaged","","","false","false","12","1,140,356,369,398","skill","long_tail"
"addState","enemy","reduceHp","Poison","","","false","false","12","124,170,225,378,433","skill,np","cosmetic"
"damageNpIndividualSum","enemy","","","","","false","false","12","153,246,303,311,339","np","handled"
"addStateShort","self","upCriticalrate","Critical Hit Rate Up: Arts","","","false","false","12","187,198,290,298,300","skill,passive","cosmetic"
"shortenSkill","self","","","","","false","false","11","1,118,196,238,310","np,skill","handled"
"addState","enemyAll","donotAct","Charm","","","false","false","11","10,112,183,221,274","np,skill","cosmetic"
"addStateShort","ptOne","upChagetd","Overcharge Lv. Up","","","false","false","11","103,127,197,239,282","skill","handled"
"addState","enemyAll","reduceHp","Poison","","","false","false","11","112,13,192,199,378","np,skill","cosmetic"
"subState","ptOne","","","","","false","false","11","116,166,181,232,254","skill","long_tail"
"addStateShort","enemy","downTolerance","Debuff Resist Down","","","false","false","11","122,148,166,167,201","np,skill","cosmetic"
"addState","self","upGainHp","HP Recovery Up","ProgressSelfTurn","ProgressSelfTurn","false","false","11","128,155,167,175,182","skill,passive","long_tail"
"lossNp","self","","","","","false","false","11","129,138,176,183,347","skill","cosmetic"
"addState","self","downDefence","DEF Down","ProgressSelfTurn","ProgressSelfTurn","false","false","11","136,163,254,326,33","np,skill","handled"
"addStateShort","ptOne","upCommandall","Arts Up","","","false","false","11","207,284,320,349,353","skill","handled"
"addStateShort","ptOne","upDropnp","NP Gain Up","","","false","false","11","242,244,31,320,387","skill","handled"
"addState","ptAll","downCriticalRateDamageTaken","Critical Resistance Up","","","false","false","11","281,325,337,373,394","skill,np","cosmetic"
"addState","ptAll","downCriticalStarDamageTaken","C. Star Generation Resistance Up","","","false","false","11","281,325,337,373,394","skill,np","cosmetic"
"gainNp","ptOther","","","","","false","false","11","294,347,349,351,363","np,skill","handled"
"addStateShort","ptAll","upNpdamage","NP Strength Up","ProgressSelfTurn","ProgressSelfTurn","false","true","10","1,119,33,367,387","np,skill","handled"
"addStateShort","ptOne","upCommandall","Quick Up","","","false","false","10","104,207,215,281,320","skill","handled"
"delayNpturn","self","","","","","false","false","10","129,138,183,347,424","skill","long_tail"
"addStateShort","self","attackAfterFunction","Bonus Effect when Attacking","","","false","false","10","134,273,379,409,427","skill","long_tail"
"addStateShort","self","upAtk","ATK Up","","","false","false","10","135,17,178,322,354","skill,np,passive","handled"
"addStateShort","ptOne","upAtk","ATK Up","ProgressSelfTurn","ProgressSelfTurn","false","false","10","175,241,242,295,330","skill","handled"
"addStateShort","self","attackAfterFunction","Buster Attack Bonus Effect","","","false","false","10","3,337,381,418,433","skill","long_tail"
"addState","ptAll","upToleranceSubstate","Buff Removal Resist Up","","","false","false","9","10,199,234,237,296","skill,np","long_tail"
"addState","ptAll","upTolerance","Debuff Resist Up","","","false","false","9","104,126,211,439,450","np,skill","long_tail"
"addState","enemyAll","downNpdamage","NP Strength Down","","","false","false","9","112,163,32,95,97","np,skill","cosmetic"
"addState","self","upTolerance","ATK Debuff Resist Up","","","false","false","9","115,22,51,53,8","skill","long_tail"
"addState","enemyAll","avoidState","Nullify Buff","","","false","false","9","117,139,237,263,305","skill,np","cosmetic"
"addStateShort","self","upDamage","STR Up vs. Evil","","","false","false","9","119,159,234,374,43","skill,np","handled"
"addStateShort","self","upDamage","STR Up vs. Divine","","","false","false","9","133,331,364,371,386","skill,np","handled"
"addState","ptOne","avoidState","Debuff Immune","","","false","false","9","136,166,213,301,315","skill","cosmetic"
"lossHp","self","","","","","false","false","9","139,347,408,42,57","np","cosmetic"
"addStateShort","enemy","downDefencecommandall","Quick Card Resist Down","","","false","false","9","146,159,269,278,281","skill,np","handled"
"addStateShort","self","upStarweight","C. Star Gather Up: Arts","","","false","false","9","187,198,290,298,300","skill","cosmetic"
"addState","enemyAll","selfturnendFunction","Terror","","","false","false","9","195,270,289,295,297","skill,np","long_tail"
"addStateShort","self","attackBeforeFunction","Pre-Quick ATK Damage Bonus Effect","","","false","false","9","362,365,381,388,403","skill","long_tail"
"addStateShort","ptOther","upNpdamage","NP Strength Up","ProgressSelfTurn","ProgressSelfTurn","false","false","8","111,342,363,372,404","skill,np","handled"
"addState","enemyAll","selfturnendFunction","Confusion","","","false","false","8","117,206,297,319,410","np,skill","long_tail"
"addState","ptAll","addMaxhp","Max HP Plus","","","false","false","8","125,189,196,353,416","skill,np","cosmetic"
"addStateShort","ptOne","upNpdamage","NP Strength Up","ProgressSelfTurn","ProgressSelfTurn","false","false","8","127,183,197,213,244","skill","handled"
"addStateShort","ptAll","upCriticalrate","Critical Hit Rate Up","ProgressSelfTurn","ProgressSelfTurn","false","true","8","128,129,130,131,294","skill","cosmetic"
"addState","enemy","donotAct","Charm","","","false","false","8","128,239,240,29,41","skill,np","cosmetic"
"addState","self","downTolerance","Debuff Resist Down","","","false","false","8","131,189,217,245,25","skill,passive","cosmetic"
"addStateShort","self","avoidState","Burn Immune","","","false","false","8","176,220,250,282,328","skill,passive,np","cosmetic"
"addState","self","addMaxhp","Max HP Plus","","","false","false","8","184,208,217,310,312","skill,np","cosmetic"
"instantDeath","enemyAll","","","","","false","true","8","214,359,360,361,369","np","handled"
"addState","enemyAll","upFuncHpReduce","Spreading Fire","","","false","false","8","290,334,369,441,462","np,skill","long_tail"
"addState","enemyAll","upFuncHpReduce","Disastrous Curse","","","false","false","8","297,324,334,364,369","np,skill","long_tail"
"transformServant","self","","","","","false","false","8","312,394,413,464,467","skill,np","handled"
"addStateShort","ptAll","upDropnp","NP Gain Up","","","false","true","8","33,341,355,359,360","skill","handled"
"addState","ptOne","avoidance","Evade","ProgressSelfTurn","ProgressSelfTurn","false","false","7","117,188,254,269,349","skill","cosmetic"
"addStateShort","self","upDamage","Strength Up [Chaotic]","","","false","false","7","119,205,234,293,345","skill,np","handled"
"damageNpStateIndividualFix","enemy","","","","","false","false","7","13,239,275,319,356","np","handled"
"lossStar","self","","","","","false","false","7","156,199,242,373,428","skill","long_tail"
"addStateShort","self","upDamage","Strength Up [Human Attribute]","","","false","false","7","158,235,276,323,424","skill,np","handled"
"forceInstantDeath","self","","","","","false","false","7","16,294,414,427,454","np","handled"
"addState","self","donotAct","Stun","ProgressSelfTurn","ProgressSelfTurn","false","false","7","164,267,58,59,82","skill,np","cosmetic"
"addState","enemyAll","downGainHp","HP Recover Down","","","false","false","7","174,35,429,433,435","skill,np","cosmetic"
"addState","enemy","upFuncHpReduce","Disastrous Curse","","","false","false","7","185,260,311,427","np","long_tail"
"addStateShort","self","upDamage","STR Up vs. Dragon","","","false","false","7","208,224,332,419,6","skill","handled"
"addStateShort","self","upDamage","Strength Up (Heaven attribute)","","","false","false","7","209,250,383,421,424","skill,np","handled"
"addState","self","downTolerance","罪の刻印","","","false","false","7","437","skill","cosmetic"
"addStateShort","enemy","downDefencecommandall","Buster Card Resist Down","","","false","false","6","101,289,294,335,446","np,skill","handled"
"addState","enemy","avoidState","Nullify Buff","","","false","false","6","106,170,200,35","np,skill","cosmetic"
"addState","ptOne","upHate","Target Focus Up","","","false","false","6","109,258,345","skill","cosmetic"
"addStateShort","self","attackBeforeFunction","Pre-ATK Damage Bonus Effect","","","false","false","6","109,190,191,199,432","skill,np","long_tail"
"hastenNpturn","self","","","","","false","true","6","116,343,366,377,81","skill","cosmetic"
"addState","ptAll","upCriticalpoint","C. Star Drop Rate Up","ProgressSelfTurn","ProgressSelfTurn","false","true","6","128,129,130,131,33","skill","cosmetic"
"damageNpHpratioLow","enemy","","","","","false","false","6","131,161,248,66","np","long_tail"
"addStateShort","ptOther","upCriticalrate","Critical Hit Rate Up","ProgressSelfTurn","ProgressSelfTurn","false","false","6","159,222,257,307,315","skill,np","cosmetic"
"addStateShort","self","upDamage","Strength Up (Lawful)","","","false","false","6","159,205,387,423,440","skill,np","handled"
"addStateShort","self","reduceHp","Burn (Self/Non-stackable)","","","false","false","6","176,250,282,80,82","skill,np","cosmetic"
"addStateShort","self","upDamage","Strength Up (Wild Beasts)","","","false","false","6","20,326,334,379","skill,passive","handled"
"addStateShort","ptAll","regainStar","Gain C. Stars Each Turn","","","false","false","6","244,253,292,450,458","skill","cosmetic"
"gainNp","ptOther","","","","","false","true","6","254,351,421,431,452","skill,np","handled"
"cardReset","self","","","","","false","false","6","265,418,424,425,444","skill","long_tail"
"addState","ptOne","upToleranceSubstate","Buff Removal Resist Up","","","false","false","6","271,338,352,463,466","skill","long_tail"
"damageNpIndividualSum","enemyAll","","","","","false","false","6","280,285,343,441,444","np","handled"
"addStateShort","self","attackAfterFunction","Quick Attack Bonus Effect","","","false","false","6","295,384,408,435","skill","long_tail"
"addStateShort","self","upCommandall","Extra Attack Up","","","false","false","6","411,412,431,436,443","passive,skill,np","long_tail"
"addState","ptOne","upDefence","DEF Up","","","false","false","5","103,127,242,90","skill","cosmetic"
"addStateShort","ptAll","upGrantstate","Buff Chance Up","","","false","false","5","118,227,245,77","skill","cosmetic"
"addStateShort","self","attackAfterFunction","Bonus Effect with Arts","","","false","false","5","124,337,349,418","skill","long_tail"
"addState","enemy","upFuncHpReduce","Spreading Fire","","","false","false","5","138,184","np","long_tail"
"addState","self","avoidInstantdeath","Immune to Death","","","false","false","5","154,186,196,435","passive,np,skill","cosmetic"
"addStateShort","self","commandattackAfterFunction","Bonus Effect (Debuff)","","","false","false","5","154,164,185,218,219","passive,skill","long_tail"
"addStateShort","self","upDamage","STR Up (Good)","","","false","false","5","155,423,438,440,78","np,skill","handled"
"addStateShort","self","downCriticalrate","Critical Hit Rate Down","missText","missText","false","false","5","156,199,217,242,428","skill,np","cosmetic"
"addStateShort","ptOther","upAtk","ATK Up","ProgressSelfTurn","ProgressSelfTurn","false","true","5","156,18,216,452,99","skill","handled"
"addStateShort","self","downStarweight","C. Star Gather Down","","","false","false","5","159,222,257,315","skill,np","cosmetic"
"addStateShort","self","upDamage","STR Up vs. Super Giant","","","false","false","5","160,347,371,452","skill,np","handled"
"addStateShort","enemy","downDefence","NiceShot!","","","false","false","5","221","np","long_tail"
"addStateShort","self","upDamage","Strength Up (Earth Attribute)","","","false","false","5","232,419,424,425,437","skill,np","handled"
"addState","self","avoidState","Nullify Charm","","","false","false","5","239,277,305,321,346","passive,skill","cosmetic"
"addStateShort","self","upDamage","STR Up vs. Undead","","","false","false","5","243,299,435,70","skill","handled"
"addState","self","avoidState","Mental Debuff Immune","","","false","false","5","248,316,358,87","passive,np","cosmetic"
"addStateShort","self","reduceHp","Curse","","","false","false","5","295,469","skill","cosmetic"
"addState","self","addIndividuality","","INDIVIDUALITIE","INDIVIDUALITIE","false","false","5","296,401,415","passive","long_tail"
"displayBuffstring","self","","","","","false","false","5","417,424,425,464","np,skill","cosmetic"
"addState","self","functionedFunction","被効果時発動","","","false","false","5","442,447","skill,passive","cosmetic"
"addStateShort","self","upGrantstate","Buff Chance Up","","","false","false","4","110,139,5,7","skill,np","cosmetic"
"addState","enemyAll","upFuncHpReduce","Corroding Poison","","","false","false","4","112,334,433,462","np,skill","long_tail"
"addState","self","fieldIndividuality","Field Set [Sunlight]","","","false","false","4","118,123,348,354","np,skill","long_tail"
"addStateShort","self","upCommandall","Buster Up","","","false","false","4","123,250,310,350","skill,np","handled"
"addState","ptOne","subSelfdamage","Damage Cut","","","false","false","4","133,245,465,466","skill","long_tail"
"addStateShort","self","downAtk","ATK Down","","","false","false","4","136,241,273","np,skill","cosmetic"
"addState","enemy","donotAct","Petrify","","","false","false","4","147,23,384","skill,np","cosmetic"
"addState","ptOne","addMaxhp","Max HP Plus","","","false","false","4","150,26,330,353","skill","cosmetic"
"addStateShort","enemyAll","upNonresistInstantdeath","Death Resist Down","","","false","false","4","154,91","skill","long_tail"
"addStateShort","self","upDamage","Strength Up (Threat to Humanity)","","","false","false","4","175,222,373,393","np,skill","handled"
"addStateShort","self","upDamageIndividuality","Strength Up (Curse)","","","false","false","4","185,324,407","skill","handled"
"hastenNpturn","ptOther","","","","","false","true","4","254,351,421,431","skill,np","cosmetic"
"addState","self","fieldIndividuality","Field Set [Near Water]","","","false","false","4","266,348,372,416","skill","long_tail"
"addStateShort","self","upDropnp","NP Gain Up: Near Water","","","false","false","4","288,372,416","skill,np","long_tail"
"addStateShort","ptAll","upCommandall","Buster Up","ProgressSelfTurn","ProgressSelfTurn","false","true","4","294,456,53","np,skill","handled"
"moveState","self","","","","","false","false","4","295,335,353","skill","long_tail"
"addStateShort","ptOther","upDropnp","NP Gain Up","","","false","false","4","305,429,77","skill,np","handled"
"addState","enemy","downNpdamage","NP Strength Down","","","false","false","4","36,59,88","skill","cosmetic"
"addStateShort","self","upCriticaldamage","Critical Strength Up","","","false","true","4","366,448,81","skill","cosmetic"
"addStateShort","ptAll","upAtk","ATK Up","HP_LOWER","HP_LOWER","false","false","4","385","skill","handled"
"addState","self","deadFunction","Activate on Defeat","","","false","false","4","427,464","skill,passive","long_tail"
"shortenSkill","ptAll","","","","","false","false","4","438,461,62","skill,np","handled"
"addStateShort","self","upAtk","ATK Up","ProgressSelfTurn","ProgressSelfTurn","false","true","4","448,453,81","skill,np","handled"
"addStateShort","ptOther","upAtk","ATK Up","ProgressSelfTurn","ProgressSelfTurn","false","false","3","1,268,269","np,skill","handled"
"delayNpturn","enemy","","","","","false","true","3","101,224,93","np,skill","long_tail"
"addStateShort","commandTypeSelfTreasureDevice","tdTypeChange","NP Type Change","INDIVIDUALITIE","INDIVIDUALITIE","false","false","3","11,268,421","skill","handled"
"addState","ptFull","addIndividuality","","","","false","false","3","112,225,392","passive","long_tail"
"addStateShort","enemy","addSelfdamage","Damage Up","","","false","false","3","121,312","np","long_tail"
"addState","enemy","upFuncHpReduce","Corroding Poison","","","false","false","3","124,378,433","skill,np","long_tail"
"addStateShort","self","upNpdamage","NP Strength Up","","","false","false","3","132,296,357","np","handled"
"addState","enemy","upAtk","ATK Up","ProgressSelfTurn","ProgressSelfTurn","false","false","3","134,56","skill","handled"
"addState","ptAll","upGainHp","HP Recovery Up","ProgressSelfTurn","ProgressSelfTurn","false","false","3","141,249","np,skill","long_tail"
"addStateShort","self","upCriticalrate","Critical Hit Rate Up","","","false","false","3","148,428","skill","cosmetic"
"addState","self","upTolerance","Charm Resist Up","","","false","false","3","154,276,323","passive","long_tail"
"addState","enemy","downCriticaldamage","Critical Down","","","false","false","3","159,446","np","cosmetic"
